"popID";"cityID";"year";"population";"interpolation"
1;"AT001C1";1991;1539848;0
2;"AT001C1";1996;1595402;0
3;"AT001C1";1997;1609631;0
4;"AT001C1";1998;1606843;0
5;"AT001C1";1999;1608144;0
6;"AT001C1";2000;1615438;0
7;"AT001C1";2001;1550123;0
8;"AT001C1";2004;1598626;0
9;"AT001C1";2005;1632569;0
10;"AT001C1";2006;1652449;0
11;"AT001C1";2007;1661246;0
12;"AT001C1";2008;1674909;0
13;"AT001C1";2009;1687271;0
14;"AT001C1";2013;1741246;0
15;"AT002C1";1991;237810;0
16;"AT002C1";2001;226244;0
17;"AT002C1";2004;235477;0
18;"AT002C1";2005;241298;0
19;"AT002C1";2006;244997;0
20;"AT002C1";2007;247624;0
21;"AT002C1";2008;250738;0
22;"AT002C1";2009;253994;0
23;"AT002C1";2013;265778;0
24;"AT003C1";1991;203044;0
25;"AT003C1";2001;183504;0
26;"AT003C1";2004;185530;0
27;"AT003C1";2005;186781;0
28;"AT003C1";2006;187936;0
29;"AT003C1";2007;188393;0
30;"AT003C1";2008;188593;0
31;"AT003C1";2009;189122;0
32;"AT003C1";2013;191501;0
33;"AT004C1";2001;142662;0
34;"AT004C1";2004;145680;0
35;"AT004C1";2005;145124;0
36;"AT004C1";2006;146484;0
37;"AT004C1";2007;146845;0
38;"AT004C1";2008;147169;0
39;"AT004C1";2009;147732;0
40;"AT004C1";2013;145871;0
41;"AT005C1";2001;113392;0
42;"AT005C1";2004;114561;0
43;"AT005C1";2005;114438;0
44;"AT005C1";2006;115643;0
45;"AT005C1";2007;116370;0
46;"AT005C1";2008;117150;0
47;"AT005C1";2009;118035;0
48;"AT005C1";2013;122458;0
49;"AT006C1";2013;95450;0
50;"BE001C1";1990;964385;0
51;"BE001C1";1991;954045;0
52;"BE001C1";1992;951217;0
53;"BE001C1";1993;950339;0
54;"BE001C1";1994;949070;0
55;"BE001C1";1995;951580;0
56;"BE001C1";1996;948122;0
57;"BE001C1";1997;950597;0
58;"BE001C1";1998;953175;0
59;"BE001C1";1999;954460;0
60;"BE001C1";2000;964405;0
61;"BE001C1";2001;978384;0
62;"BE001C1";2002;978384;0
63;"BE001C1";2003;992041;0
64;"BE001C1";2004;999899;0
65;"BE001C1";2005;1006749;0
66;"BE001C1";2006;1018804;0
67;"BE001C1";2007;1031215;0
68;"BE001C1";2008;1048491;0
69;"BE001C1";2009;1068532;0
70;"BE001C1";2010;1089538;0
71;"BE001C1";2011;1136778;0
72;"BE001C1";2012;1159448;0
73;"BE001C1";2013;1174624;0
74;"BE001C1";2014;1183841;0
75;"BE002C1";1990;470349;0
76;"BE002C1";1991;467518;0
77;"BE002C1";1992;465783;0
78;"BE002C1";1993;465102;0
79;"BE002C1";1994;462880;0
80;"BE002C1";1995;459072;0
81;"BE002C1";1996;455852;0
82;"BE002C1";1997;453030;0
83;"BE002C1";1998;449745;0
84;"BE002C1";1999;447632;0
85;"BE002C1";2000;446525;0
86;"BE002C1";2001;448709;0
87;"BE002C1";2002;448709;0
88;"BE002C1";2003;452474;0
89;"BE002C1";2004;455148;0
90;"BE002C1";2005;457749;0
91;"BE002C1";2006;461496;0
92;"BE002C1";2007;466203;0
93;"BE002C1";2008;472071;0
94;"BE002C1";2009;477936;0
95;"BE002C1";2010;483505;0
96;"BE002C1";2011;498473;0
97;"BE002C1";2012;507368;0
98;"BE002C1";2013;512230;0
99;"BE002C1";2014;513915;0
100;"BE003C1";1990;230543;0
101;"BE003C1";1991;230246;0
102;"BE003C1";1992;230232;0
103;"BE003C1";1993;229821;0
104;"BE003C1";1994;228490;0
105;"BE003C1";1995;227483;0
106;"BE003C1";1996;226464;0
107;"BE003C1";1997;225469;0
108;"BE003C1";1998;224545;0
109;"BE003C1";1999;224074;0
110;"BE003C1";2000;224180;0
111;"BE003C1";2001;226220;0
112;"BE003C1";2002;226220;0
113;"BE003C1";2003;228016;0
114;"BE003C1";2004;229344;0
115;"BE003C1";2005;230951;0
116;"BE003C1";2006;233120;0
117;"BE003C1";2007;235143;0
118;"BE003C1";2008;237250;0
119;"BE003C1";2009;240049;0
120;"BE003C1";2010;243366;0
121;"BE003C1";2011;248358;0
122;"BE003C1";2012;249205;0
123;"BE003C1";2013;249754;0
124;"BE003C1";2014;251984;0
125;"BE004C1";1990;206779;0
126;"BE004C1";1991;206214;0
127;"BE004C1";1992;206903;0
128;"BE004C1";1993;207045;0
129;"BE004C1";1994;206898;0
130;"BE004C1";1995;206491;0
131;"BE004C1";1996;205591;0
132;"BE004C1";1997;204899;0
