concID,pollutantID,stationID,year,concentration,pctValid,measurementCode,population,exceededLimit
44515,BaP,AT2KA21,2010,2.70,100.00,100,5967,1
44516,BaP,AT2KA21,2011,2.00,100.00,100,5967,1
44517,BaP,AT2KA21,2012,1.21,100.00,100,5967,1
49214,BaP,AT2KA21,2013,0.71,NULL,NULL,NULL,0
44518,BaP,AT4S184,2010,1.00,100.00,100,86926,1
44519,BaP,AT4S184,2011,1.18,100.00,100,86926,1
44520,BaP,AT4S184,2012,0.81,100.00,100,86926,0
49209,BaP,AT4S184,2013,0.61,NULL,NULL,NULL,0
44521,BaP,AT4S416,2006,1.62,100.00,100,173852,1
44522,BaP,AT4S416,2007,0.91,100.00,100,173852,0
44523,BaP,AT4S416,2008,1.10,100.00,100,173852,1
44524,BaP,AT4S416,2009,1.30,100.00,100,173852,1
44525,BaP,AT4S416,2010,1.20,100.00,100,86926,1
44526,BaP,AT4S416,2011,1.47,100.00,100,86926,1
44527,BaP,AT4S416,2012,0.96,100.00,100,86926,0
49210,BaP,AT4S416,2013,0.85,NULL,NULL,NULL,0
44528,BaP,AT4S431,2006,1.20,100.00,100,11887,1
44529,BaP,AT4S431,2007,0.91,100.00,100,11887,0
44530,BaP,AT4S431,2008,0.90,100.00,100,11887,0
44531,BaP,AT4S431,2009,1.00,100.00,100,11887,1
44532,BaP,AT4S431,2010,1.10,100.00,100,11887,1
44533,BaP,AT4S431,2011,1.44,100.00,100,11887,1
44534,BaP,AT4S431,2012,0.81,100.00,100,11887,0
49211,BaP,AT4S431,2013,0.77,NULL,NULL,NULL,0
44535,BaP,AT51000,2000,0.72,100.00,100,9430,0
44536,BaP,AT51000,2001,0.46,100.00,100,9430,0
44537,BaP,AT51000,2002,0.87,100.00,100,9430,0
44538,BaP,AT51000,2003,1.24,100.00,100,9430,1
44539,BaP,AT51000,2005,0.88,100.00,100,9430,0
44540,BaP,AT51000,2006,1.21,100.00,100,9430,1
44541,BaP,AT51000,2007,0.91,100.00,100,9430,0
44542,BaP,AT51000,2008,1.00,100.00,100,9430,1
44543,BaP,AT51000,2009,1.10,100.00,100,9430,1
44544,BaP,AT51000,2010,0.70,100.00,100,9430,0
44545,BaP,AT51000,2011,0.80,100.00,100,9430,0
44546,BaP,AT51000,2012,0.64,100.00,100,9430,0
49212,BaP,AT51000,2013,0.66,NULL,NULL,NULL,0
44547,BaP,AT51200,2006,3.48,100.00,100,137907,1
44548,BaP,AT51200,2007,1.11,100.00,100,137907,1
44549,BaP,AT51200,2008,1.00,100.00,100,137907,1
44550,BaP,AT51200,2010,0.60,100.00,100,137907,0
44551,BaP,AT51200,2011,0.72,100.00,100,137907,0
44552,BaP,AT51200,2012,0.65,100.00,100,137907,0
44553,BaP,AT60170,2007,2.30,100.00,100,232038,1
44554,BaP,AT60170,2008,1.50,100.00,100,232038,1
44555,BaP,AT60170,2009,2.70,100.00,100,232038,1
44556,BaP,AT60170,2010,2.20,100.00,100,232038,1
44557,BaP,AT60170,2011,2.30,100.00,100,232038,1
44558,BaP,AT60170,2012,2.49,100.00,100,232038,1
49208,BaP,AT60170,2013,1.58,NULL,NULL,NULL,1
44559,BaP,AT72110,2007,1.46,100.00,100,7086,1
44560,BaP,AT72110,2008,1.00,100.00,100,7086,1
44561,BaP,AT72110,2009,1.30,100.00,100,7086,1
44562,BaP,AT72110,2010,1.10,100.00,100,7086,1
44563,BaP,AT72110,2011,1.17,100.00,100,7086,1
44564,BaP,AT72110,2012,0.95,100.00,100,7086,0
49213,BaP,AT72110,2013,0.80,NULL,NULL,NULL,0
44565,BaP,AT90AKC,2007,0.74,100.00,101,52889,0
44566,BaP,AT90AKC,2008,0.70,100.00,101,52889,0
44567,BaP,AT90AKC,2009,0.80,100.00,101,52889,0
44568,BaP,AT90AKC,2010,1.00,100.00,101,52889,1
44569,BaP,AT90AKC,2011,0.60,100.00,101,52889,0
44570,BaP,AT90AKC,2012,0.50,100.00,101,52889,0
49206,BaP,AT90AKC,2013,0.40,NULL,NULL,NULL,0
44571,BaP,AT9RINN,2007,1.03,100.00,100,52889,1
44572,BaP,AT9RINN,2008,0.90,100.00,100,52889,0
44573,BaP,AT9RINN,2009,0.80,100.00,100,52889,0
44574,BaP,AT9RINN,2010,1.30,100.00,100,52889,1
44575,BaP,AT9RINN,2011,0.60,100.00,100,52889,0
44576,BaP,AT9RINN,2012,0.50,100.00,100,52889,0
49207,BaP,AT9RINN,2013,0.50,NULL,NULL,NULL,0
44577,BaP,BEPIHE2,2006,0.46,35.34,100,309766,0
44578,BaP,BEPMEU1,2006,0.41,96.16,100,309766,0
44579,BaP,BEPMEU1,2007,0.45,97.26,100,464649,0
44580,BaP,BEPMEU1,2008,0.30,96.18,100,309766,0
44581,BaP,BEPMEU1,2009,0.37,98.08,100,232325,0
44582,BaP,BEPMEU1,2010,0.61,48.49,100,309766,0
49215,BaP,BEPMEU1,2013,0.27,NULL,NULL,NULL,0
44583,BaP,BEPR001,2006,0.20,46.58,100,18566,0
44584,BaP,BEPR001,2007,0.47,87.95,100,18566,0
44585,BaP,BEPR001,2008,0.36,72.40,100,12377,0
44586,BaP,BEPR001,2009,0.38,27.67,100,12377,0
44587,BaP,BEPR001,2011,0.36,82.19,100,12377,0
44588,BaP,BEPR001,2012,0.39,74.32,100,18566,0
49216,BaP,BEPR001,2013,0.40,NULL,NULL,NULL,0
44589,BaP,BEPR002,2006,0.40,96.16,100,18566,0
44590,BaP,BEPR002,2007,0.35,89.59,100,18566,0
