"concID";"pollutantID";"stationID";"year";"concentration";"pctValid";"measurementCode";"population"
1;"NO2";"AT2KA11";1991;35.0;94.0;"500";5967
2;"NO2";"AT2KA11";1992;38.0;95.0;"500";5967
3;"NO2";"AT2KA11";1993;38.0;95.0;"500";5967
4;"NO2";"AT2KA11";1994;29.0;94.0;"500";2984
5;"NO2";"AT2KA11";1995;26.0;95.0;"500";2984
6;"NO2";"AT2KA11";1996;26.0;94.0;"500";2984
7;"NO2";"AT2KA11";1997;23.0;94.0;"500";2984
8;"NO2";"AT2KA11";1998;28.0;86.0;"500";2984
9;"NO2";"AT2KA11";1999;28.0;95.0;"500";2984
10;"NO2";"AT2KA11";2000;25.0;95.0;"500";2984
11;"NO2";"AT2KA11";2001;27.0;95.0;"500";2984
12;"NO2";"AT2KA11";2002;31.0;95.0;"500";2984
13;"NO2";"AT2KA11";2003;37.0;92.0;"500";2984
14;"NO2";"AT2KA11";2004;32.0;94.0;"500";2984
15;"NO2";"AT2KA11";2005;26.0;95.0;"500";2984
16;"NO2";"AT2KA11";2006;29.0;93.0;"500";2984
17;"NO2";"AT2KA11";2007;28.0;95.0;"500";2984
18;"NO2";"AT2KA11";2008;25.0;95.0;"500";2984
19;"NO2";"AT2KA11";2009;24.0;95.0;"500";1989
20;"NO2";"AT2KA11";2010;26.0;94.0;"500";1989
21;"NO2";"AT2KA21";1994;30.0;94.0;"500";2984
22;"NO2";"AT2KA21";1995;28.0;93.0;"500";2984
23;"NO2";"AT2KA21";1996;39.0;93.0;"500";2984
24;"NO2";"AT2KA21";1997;38.0;95.0;"500";2984
25;"NO2";"AT2KA21";1998;38.0;94.0;"500";2984
26;"NO2";"AT2KA21";1999;41.0;92.0;"500";2984
27;"NO2";"AT2KA21";2000;36.0;95.0;"500";2984
28;"NO2";"AT2KA21";2001;38.0;94.0;"500";2984
29;"NO2";"AT2KA21";2002;37.0;94.0;"500";2984
30;"NO2";"AT2KA21";2003;45.0;95.0;"500";2984
31;"NO2";"AT2KA21";2004;43.0;96.0;"500";2984
32;"NO2";"AT2KA21";2005;43.0;95.0;"500";2984
33;"NO2";"AT2KA21";2006;46.0;95.0;"500";2984
34;"NO2";"AT2KA21";2007;41.0;95.0;"500";2984
35;"NO2";"AT2KA21";2008;38.0;94.0;"500";2984
36;"NO2";"AT2KA21";2009;38.0;94.0;"500";1989
37;"NO2";"AT2KA21";2010;40.0;95.0;"500";1989
38;"NO2";"AT2KA21";2011;37.0;95.0;"500";2984
39;"NO2";"AT2KA21";2012;36.0;95.0;"500";2984
40;"NO2";"AT2KA61";2009;42.0;94.0;"100";1989
41;"NO2";"AT2KA61";2010;45.0;95.0;"100";1989
42;"NO2";"AT2KA61";2011;42.0;95.0;"100";2984
43;"NO2";"AT2KA61";2012;45.0;94.0;"100";2984
44;"NO2";"AT2KA71";2011;27.0;94.0;"100";87269
45;"NO2";"AT2KA71";2012;26.0;94.0;"100";87269
46;"NO2";"AT4S184";2009;29.0;93.0;"100";57951
47;"NO2";"AT4S184";2010;30.0;94.0;"100";57951
48;"NO2";"AT4S184";2011;30.0;91.0;"100";57951
49;"NO2";"AT4S184";2012;28.0;93.0;"100";57951
50;"NO2";"AT4S401";1996;20.0;76.0;"100";34770
51;"NO2";"AT4S401";1998;31.0;88.0;"100";57951
52;"NO2";"AT4S401";2000;32.0;93.0;"100";43463
53;"NO2";"AT4S403";1990;41.0;89.0;"500";5944
54;"NO2";"AT4S403";1991;39.0;91.0;"500";5944
55;"NO2";"AT4S403";1992;40.0;93.0;"500";5944
56;"NO2";"AT4S403";1993;40.0;91.0;"500";5944
57;"NO2";"AT4S403";1994;36.0;88.0;"500";5944
58;"NO2";"AT4S403";1995;31.0;96.0;"500";5944
59;"NO2";"AT4S403";1996;34.0;82.0;"500";5944
60;"NO2";"AT4S403";1997;27.0;95.0;"500";5944
61;"NO2";"AT4S403";1998;24.0;93.0;"500";3962
62;"NO2";"AT4S403";1999;27.0;94.0;"500";3962
63;"NO2";"AT4S403";2000;30.0;93.0;"500";3962
64;"NO2";"AT4S403";2001;29.0;88.0;"500";3962
65;"NO2";"AT4S403";2002;31.0;93.0;"500";3962
66;"NO2";"AT4S403";2003;34.0;94.0;"500";3962
67;"NO2";"AT4S403";2004;32.0;94.0;"500";3962
68;"NO2";"AT4S403";2005;40.0;85.0;"500";3962
69;"NO2";"AT4S412";1990;48.0;82.0;"100";57951
70;"NO2";"AT4S412";1991;37.0;76.0;"100";57951
71;"NO2";"AT4S412";1992;36.0;77.0;"100";57951
72;"NO2";"AT4S412";1993;37.0;94.0;"100";57951
73;"NO2";"AT4S412";1994;22.0;92.0;"100";57951
74;"NO2";"AT4S412";1995;15.0;82.0;"100";43463
75;"NO2";"AT4S412";1996;25.0;95.0;"100";34770
76;"NO2";"AT4S412";1997;18.0;79.0;"100";57951
77;"NO2";"AT4S412";1998;17.0;84.0;"100";57951
78;"NO2";"AT4S412";1999;29.0;91.0;"100";57951
79;"NO2";"AT4S412";2000;27.0;95.0;"100";43463
80;"NO2";"AT4S412";2001;29.0;95.0;"100";43463
81;"NO2";"AT4S412";2002;28.0;94.0;"100";43463
82;"NO2";"AT4S412";2003;34.0;95.0;"100";57951
83;"NO2";"AT4S412";2004;28.0;95.0;"100";57951
84;"NO2";"AT4S412";2005;28.0;90.0;"100";57951
85;"NO2";"AT4S412";2006;29.0;90.0;"100";57951
86;"NO2";"AT4S412";2007;26.0;91.0;"100";57951
87;"NO2";"AT4S412";2008;28.0;92.0;"100";86926
88;"NO2";"AT4S412";2009;28.0;91.0;"100";57951
89;"NO2";"AT4S412";2010;27.0;89.0;"100";57951
90;"NO2";"AT4S412";2011;27.0;91.0;"100";57951
91;"NO2";"AT4S412";2012;27.0;91.0;"100";57951
92;"NO2";"AT4S413";1995;17.0;81.0;"500";43463
93;"NO2";"AT4S413";1996;20.0;91.0;"500";34770
94;"NO2";"AT4S414";1990;38.0;84.0;"100";57951
95;"NO2";"AT4S414";1991;37.0;88.0;"100";57951
96;"NO2";"AT4S414";1992;37.0;92.0;"100";57951
97;"NO2";"AT4S414";1993;41.0;93.0;"100";57951
98;"NO2";"AT4S414";1994;33.0;91.0;"100";57951
99;"NO2";"AT4S414";1995;30.0;83.0;"100";43463
100;"NO2";"AT4S414";1996;30.0;94.0;"100";34770
101;"NO2";"AT4S414";1997;30.0;90.0;"100";57951
102;"NO2";"AT4S414";1999;34.0;80.0;"100";57951
103;"NO2";"AT4S414";2000;33.0;94.0;"100";43463
104;"NO2";"AT4S414";2001;35.0;94.0;"100";43463
105;"NO2";"AT4S414";2002;34.0;93.0;"100";43463
106;"NO2";"AT4S414";2003;34.0;93.0;"100";57951
107;"NO2";"AT4S414";2004;30.0;91.0;"100";57951
108;"NO2";"AT4S414";2005;32.0;89.0;"100";57951
109;"NO2";"AT4S414";2006;35.0;94.0;"100";57951
110;"NO2";"AT4S414";2007;30.0;86.0;"100";57951
111;"NO2";"AT4S415";1990;43.0;93.0;"100";5944
112;"NO2";"AT4S415";1991;41.0;90.0;"100";5944
113;"NO2";"AT4S415";1992;29.0;78.0;"100";5944
114;"NO2";"AT4S415";1993;38.0;89.0;"100";5944
115;"NO2";"AT4S415";1994;32.0;96.0;"100";5944
116;"NO2";"AT4S415";1995;31.0;90.0;"100";5944
117;"NO2";"AT4S415";1996;32.0;86.0;"100";5944
118;"NO2";"AT4S415";1997;29.0;87.0;"100";5944
119;"NO2";"AT4S415";1998;30.0;92.0;"100";3962
120;"NO2";"AT4S415";1999;32.0;83.0;"100";3962
121;"NO2";"AT4S415";2000;31.0;92.0;"100";3962
122;"NO2";"AT4S415";2001;30.0;86.0;"100";3962
123;"NO2";"AT4S415";2002;32.0;90.0;"100";3962
124;"NO2";"AT4S415";2003;38.0;88.0;"100";3962
125;"NO2";"AT4S415";2004;34.0;83.0;"100";3962
126;"NO2";"AT4S415";2005;32.0;83.0;"100";3962
127;"NO2";"AT4S415";2006;37.0;84.0;"100";5944
128;"NO2";"AT4S415";2007;32.0;90.0;"100";5944
129;"NO2";"AT4S415";2008;34.0;83.0;"100";5944
130;"NO2";"AT4S415";2009;33.0;94.0;"100";11887
131;"NO2";"AT4S415";2010;35.0;92.0;"100";5944
132;"NO2";"AT4S415";2011;35.0;90.0;"100";5944
133;"NO2";"AT4S415";2012;31.0;90.0;"100";5944
134;"NO2";"AT4S416";1985;0.0;77.0;"500";173852
135;"NO2";"AT4S416";1990;34.0;83.0;"500";57951
136;"NO2";"AT4S416";1991;40.0;96.0;"500";57951
137;"NO2";"AT4S416";1992;34.0;93.0;"500";57951
138;"NO2";"AT4S416";1993;37.0;88.0;"500";57951
139;"NO2";"AT4S416";1994;29.0;95.0;"500";57951
140;"NO2";"AT4S416";1995;28.0;87.0;"500";43463
141;"NO2";"AT4S416";1996;23.0;87.0;"500";34770
142;"NO2";"AT4S416";1997;31.0;84.0;"500";57951
143;"NO2";"AT4S416";1998;34.0;78.0;"500";57951
144;"NO2";"AT4S416";1999;34.0;80.0;"500";57951
145;"NO2";"AT4S416";2000;32.0;91.0;"500";43463
146;"NO2";"AT4S416";2001;32.0;94.0;"500";43463
147;"NO2";"AT4S416";2002;34.0;93.0;"500";43463
148;"NO2";"AT4S416";2003;38.0;94.0;"500";57951
149;"NO2";"AT4S416";2004;33.0;94.0;"500";57951
150;"NO2";"AT4S416";2005;35.0;95.0;"500";57951
151;"NO2";"AT4S416";2006;37.0;94.0;"500";57951
152;"NO2";"AT4S416";2007;30.0;92.0;"500";57951
153;"NO2";"AT4S416";2008;31.0;91.0;"500";86926
154;"NO2";"AT4S416";2009;30.0;93.0;"500";57951
155;"NO2";"AT4S416";2010;34.0;88.0;"500";57951
156;"NO2";"AT4S416";2011;32.0;87.0;"500";57951
157;"NO2";"AT4S416";2012;30.0;91.0;"500";57951
158;"NO2";"AT4S425";2001;22.0;95.0;"100";43463
159;"NO2";"AT4S425";2002;22.0;95.0;"100";43463
160;"NO2";"AT4S431";1998;42.0;88.0;"100";3962
161;"NO2";"AT4S431";1999;44.0;81.0;"100";3962
162;"NO2";"AT4S431";2000;43.0;93.0;"100";3962
163;"NO2";"AT4S431";2001;44.0;93.0;"100";3962
164;"NO2";"AT4S431";2002;43.0;91.0;"100";3962
165;"NO2";"AT4S431";2003;48.0;94.0;"100";3962
166;"NO2";"AT4S431";2004;49.0;94.0;"100";3962
167;"NO2";"AT4S431";2005;50.0;95.0;"100";3962
168;"NO2";"AT4S431";2006;52.0;91.0;"100";5944
169;"NO2";"AT4S431";2007;50.0;87.0;"100";5944
170;"NO2";"AT4S431";2008;48.0;76.0;"100";5944
171;"NO2";"AT4S431";2010;48.0;85.0;"100";5944
172;"NO2";"AT4S431";2011;50.0;90.0;"100";5944
173;"NO2";"AT4S431";2012;49.0;93.0;"100";5944
174;"NO2";"AT51000";1990;85.0;97.0;"500";9430
175;"NO2";"AT51000";1991;84.0;99.0;"500";9430
176;"NO2";"AT51000";1992;78.0;91.0;"500";9430
177;"NO2";"AT51000";1993;71.0;99.0;"500";9430
178;"NO2";"AT51000";1994;54.0;99.0;"500";4715
179;"NO2";"AT51000";1995;60.0;96.0;"500";4715
180;"NO2";"AT51000";1996;62.0;99.0;"500";4715
181;"NO2";"AT51000";1997;53.0;90.0;"500";4715
182;"NO2";"AT51000";1998;52.0;98.0;"500";4715
183;"NO2";"AT51000";1999;51.0;99.0;"500";4715
184;"NO2";"AT51000";2000;53.0;99.0;"500";4715
185;"NO2";"AT51000";2001;55.0;98.0;"500";4715
186;"NO2";"AT51000";2002;56.0;94.0;"500";4715
187;"NO2";"AT51000";2003;59.0;97.0;"500";4715
188;"NO2";"AT51000";2004;57.0;93.0;"500";4715
189;"NO2";"AT51000";2005;59.0;94.0;"500";4715
190;"NO2";"AT51000";2006;63.0;92.0;"500";4715
191;"NO2";"AT51000";2007;64.0;94.0;"500";4715
192;"NO2";"AT51000";2008;60.0;92.0;"500";4715
193;"NO2";"AT51000";2009;60.0;94.0;"500";4715
194;"NO2";"AT51000";2010;58.0;95.0;"500";4715
195;"NO2";"AT51000";2011;56.0;95.0;"500";4715
196;"NO2";"AT51000";2012;53.0;95.0;"500";4715
197;"NO2";"AT51066";1994;52.0;98.0;"500";4715
198;"NO2";"AT51066";1995;34.0;90.0;"500";4715
199;"NO2";"AT51066";1996;36.0;77.0;"500";4715
200;"NO2";"AT51066";1997;32.0;91.0;"500";4715
201;"NO2";"AT51066";1998;32.0;98.0;"500";4715
202;"NO2";"AT51066";1999;34.0;99.0;"500";4715
203;"NO2";"AT51066";2000;32.0;99.0;"500";4715
204;"NO2";"AT51066";2001;35.0;98.0;"500";4715
205;"NO2";"AT51066";2002;36.0;98.0;"500";4715
206;"NO2";"AT51066";2003;36.0;97.0;"500";4715
207;"NO2";"AT51066";2004;33.0;98.0;"500";4715
208;"NO2";"AT51066";2005;33.0;93.0;"500";4715
209;"NO2";"AT51066";2006;37.0;93.0;"500";4715
210;"NO2";"AT51066";2007;32.0;94.0;"500";4715
211;"NO2";"AT51066";2008;32.0;92.0;"500";4715
212;"NO2";"AT51066";2009;32.0;94.0;"500";4715
213;"NO2";"AT51066";2010;32.0;95.0;"500";4715
214;"NO2";"AT51066";2011;33.0;94.0;"500";4715
215;"NO2";"AT51066";2012;32.0;95.0;"500";4715
216;"NO2";"AT51200";2002;33.0;98.0;"100";137907
217;"NO2";"AT51200";2003;34.0;98.0;"100";137907
218;"NO2";"AT51200";2004;31.0;98.0;"100";137907
219;"NO2";"AT51200";2005;32.0;94.0;"100";137907
220;"NO2";"AT51200";2006;35.0;93.0;"100";137907
221;"NO2";"AT51200";2007;27.0;93.0;"100";137907
222;"NO2";"AT51200";2008;25.0;94.0;"100";137907
223;"NO2";"AT51200";2009;26.0;95.0;"100";137907
