countryID,countryName,pollutantID,year,population,concentration,emission11,emission1A1,emission1A2,emission1A3,emission1Ax,emission1B,emission2,emission3,emission5
AT,Austria,NO2,1990,NULL,42.458214,0.00000000,17.73788563,32.97532301,127.93292260,27.80522145,0.00000000,4.79565428,6.75090288,0.10285827
AT,Austria,NO2,1991,7795786,40.443448,0.00000000,17.15396698,33.91943286,134.87950415,28.70334148,0.00000000,4.48402778,6.92480229,0.08690841
AT,Austria,NO2,1992,7867796,38.399643,0.00000000,14.42273576,30.81900579,129.47026899,27.88545691,0.00000000,4.55405894,6.53714809,0.05985183
AT,Austria,NO2,1993,7962003,38.482000,0.00000000,12.06345807,31.33035581,126.05754747,27.23819222,0.00000000,1.97575467,6.32815630,0.05192161
AT,Austria,NO2,1994,8015027,34.341875,0.00000000,11.05860042,30.94883002,121.67175099,25.74054524,0.00000000,1.92250073,6.76720571,0.04475462
AT,Austria,NO2,1995,8039865,34.105758,0.00000000,12.66211810,29.48588666,120.74635685,26.72675223,0.00000000,1.45636767,6.88949658,0.04557816
AT,Austria,NO2,1996,8054802,34.463611,0.00000000,11.04979391,30.50177039,138.71395070,28.35364371,0.00000000,1.42386372,6.54773232,0.04637044
AT,Austria,NO2,1997,8067812,34.413824,0.00000000,11.92473996,32.13509487,124.51478898,28.59039462,0.00000000,1.49881127,6.54881649,0.04712755
AT,Austria,NO2,1998,8075425,34.253143,0.00000000,10.83646751,31.18300483,139.25450314,28.22917924,0.00000000,1.46088181,6.56622203,0.04789420
AT,Austria,NO2,1999,7992323,32.592059,0.00000000,10.84924270,30.11901090,130.98969716,29.37236984,0.00000000,1.44440631,6.41082057,0.04869520
AT,Austria,NO2,2000,8011566,32.691143,0.00000000,10.96024300,30.63692594,139.63670355,27.63683890,0.00000000,1.54456465,6.31654479,0.04864420
AT,Austria,NO2,2001,8032875,32.692857,0.00000000,12.52344627,29.96881366,146.88010101,29.15831748,0.00000000,1.57218546,6.30928179,0.04857161
AT,Austria,NO2,2002,8083797,33.483889,0.00000000,12.30805899,30.11130978,153.71724223,27.66678733,0.00000000,1.63402670,6.24863259,0.04862080
AT,Austria,NO2,2003,8111871,36.992647,0.00000000,14.59395549,31.17305767,159.88491717,27.47575418,0.00000000,1.34015538,6.11480041,0.05002540
AT,Austria,NO2,2004,8140122,34.041429,0.00000000,15.22472996,31.10439405,159.09906883,26.65906213,0.00000000,1.27544822,5.96978617,0.05143000
AT,Austria,NO2,2005,8201359,36.315588,0.00000000,15.04824482,33.80220053,158.71571754,26.44205449,0.00000000,1.74826444,5.95147801,0.05182000
AT,Austria,NO2,2006,8254298,37.868485,0.00000000,15.11946721,34.59912786,144.44282844,25.69943245,0.00000000,1.81708598,5.96204814,0.04359000
AT,Austria,NO2,2007,8282984,34.845294,0.00000000,16.69312547,34.88943935,136.08326786,23.91599710,0.00000000,1.71176942,6.05221247,0.03606000
AT,Austria,NO2,2008,8318592,34.172727,0.00000000,14.95426312,34.32745703,121.24356067,23.99101584,0.00000000,1.91038449,6.18322618,0.02853000
AT,Austria,NO2,2009,8355260,33.003235,0.00000000,13.42753677,31.95986239,110.53296250,21.39555735,0.00000000,1.53705894,6.20347219,0.02100000
AT,Austria,NO2,2010,8389507,34.293529,0.00000000,14.68813106,32.40397756,109.75606947,21.97221576,0.00000000,1.81110555,5.96420089,0.01347000
AT,Austria,NO2,2011,8419045,33.650556,0.00000000,14.01832571,32.21363752,102.38606047,20.68109783,0.00000000,1.82616286,6.02847404,0.01347000
AT,Austria,NO2,2012,8440840,31.733611,0.00000000,14.45522495,31.36852250,96.93753604,20.06265456,0.00000000,1.62638426,6.02727784,0.01347000
AT,Austria,NO2,2013,8451860,30.661667,0.00000000,12.78999507,31.20582463,97.61485963,20.49746589,0.00000000,1.44653918,5.99953086,0.01347000
AT,Austria,PM10,2000,8011566,45.000000,0.00000000,0.65548018,2.62481802,9.98336182,10.48255974,0.31199383,10.34168852,5.19269101,0.04297898
AT,Austria,PM10,2001,8032875,56.166429,0.00000000,0.81380184,2.39607893,10.11100252,10.58433370,0.32289936,10.02459255,5.20094536,0.04129853
AT,Austria,PM10,2002,8083797,58.146316,0.00000000,0.79756272,2.52136739,10.33291566,9.79838328,0.33771256,9.33821989,5.18301894,0.05205717
AT,Austria,PM10,2003,8111871,63.198000,0.00000000,0.95862038,2.60172411,10.39275624,9.43483922,0.34698913,9.19863838,5.18138118,0.06148114
AT,Austria,PM10,2004,8140122,52.197097,0.00000000,1.02690247,2.62358602,10.35422719,9.04266213,0.29244423,9.45684790,5.27890905,0.08022414
AT,Austria,PM10,2005,8201359,59.340000,0.00000000,0.99101517,2.86025995,10.27264323,9.01893976,0.28692748,9.12792264,5.23335062,0.08973432
AT,Austria,PM10,2006,8254298,61.970882,0.00000000,1.08412288,2.99929246,9.86672602,8.72326620,0.27906172,8.37079730,5.15646717,0.08826799
AT,Austria,PM10,2007,8282984,48.156842,0.00000000,1.14956598,3.25680372,9.43107828,8.52591656,0.25112053,7.99673415,5.13200653,0.10233334
AT,Austria,PM10,2008,8318592,46.045135,0.00000000,1.16911305,3.45231806,8.63885547,8.69602366,0.24034539,8.55227429,5.08413669,0.08486999
AT,Austria,PM10,2009,8355260,44.539231,0.00000000,1.18663267,3.53379557,7.88151842,8.01005658,0.18052592,7.95822030,5.07242093,0.08047393
AT,Austria,PM10,2010,8389507,52.266452,0.00000000,1.41360674,3.52342190,7.62763530,8.51406419,0.21973316,7.83930579,5.05146411,0.09222314
AT,Austria,PM10,2011,8419045,52.990263,0.00000000,1.34569459,3.60816485,7.30818706,8.03169344,0.22668141,8.07462735,5.01112035,0.10646981
AT,Austria,PM10,2012,8440840,44.035333,0.00000000,1.40054489,3.45874992,6.92211555,8.19313061,0.20817072,7.89357583,4.97337443,0.13106530
AT,Austria,PM10,2013,8451860,45.218636,0.00000000,1.27004984,3.64877352,6.64978342,8.64731239,0.21305789,7.84690610,4.95092016,0.13403891
AT,Austria,PM2.5,2005,8201359,23.576000,0.00000000,0.84660417,2.17662752,7.88172848,8.17298654,0.08993939,2.26604974,1.24895304,0.02840160
AT,Austria,PM2.5,2006,8254298,25.654000,0.00000000,0.92447806,2.21064140,7.44159645,7.89536161,0.08771382,2.00987106,1.22731174,0.02793814
AT,Austria,PM2.5,2007,8282984,20.644286,0.00000000,0.97724156,2.38181913,6.97554671,7.70474911,0.07926971,1.82131109,1.22359647,0.03236300
AT,Austria,PM2.5,2008,8318592,17.967143,0.00000000,0.99372380,2.49914792,6.16808046,7.84543384,0.07587765,1.93327205,1.21080062,0.02686512
AT,Austria,PM2.5,2009,8355260,18.156667,0.00000000,1.00827615,2.56552986,5.44875283,7.23314320,0.05698086,1.80562890,1.20289589,0.02547980
AT,Austria,PM2.5,2010,8389507,20.009000,0.00000000,1.19539217,2.56822686,5.15558613,7.66829213,0.06936549,1.81131958,1.19588231,0.02917572
AT,Austria,PM2.5,2011,8419045,19.570000,0.00000000,1.13808357,2.63255854,4.79549065,7.23146114,0.07155338,1.86305074,1.17643157,0.03365944
AT,Austria,PM2.5,2012,8440840,16.273125,0.00000000,1.18691159,2.48722427,4.41491226,7.36637322,0.06572873,1.81397064,1.15898547,0.04140015
AT,Austria,PM2.5,2013,8451860,16.983750,0.00000000,1.07594604,2.63426592,4.11936737,7.76260771,0.06727917,1.79721885,1.15198257,0.04233601
BE,Belgium,NO2,1990,NULL,48.837500,0.00000000,73.07167839,44.36920772,226.94068510,31.65638118,1.75077357,34.61629833,18.92238868,1.08798788
BE,Belgium,NO2,1991,9986975,48.768333,0.00000000,73.04909610,44.19805777,215.62416586,34.17016796,1.56048410,33.34694702,18.67313046,1.04340037
BE,Belgium,NO2,1992,10021997,43.432857,0.00000000,70.51359887,42.38338766,209.75561435,34.03415544,1.39622531,32.83964688,18.28398389,0.83552238
BE,Belgium,NO2,1993,10068319,39.802857,0.00000000,68.21759058,40.93525591,205.63409085,34.20120586,1.30277500,34.44908564,17.98667439,0.77574150
BE,Belgium,NO2,1994,10100631,40.470000,0.00000000,71.11780327,42.89646020,201.54107261,33.41977241,1.14378488,35.13504339,18.11011769,0.48985754
BE,Belgium,NO2,1995,10130574,42.931250,0.00000000,67.34202648,48.47294836,195.06669495,33.70650507,1.25967635,37.07737952,18.59287943,0.63671592
BE,Belgium,NO2,1996,10143047,44.394286,0.00000000,65.31030864,43.43754799,190.22255191,38.00350937,1.12024275,34.67837053,17.92732632,0.73273978
BE,Belgium,NO2,1997,10170226,43.208750,0.00000000,60.20397997,43.45022675,187.80175960,34.63123104,1.01589296,36.27911787,17.78094827,0.73186803
BE,Belgium,NO2,1998,10192264,39.536250,0.00000000,63.27946410,45.30986530,186.76309103,34.88360981,0.94007984,35.75595304,17.69074373,0.84996349
BE,Belgium,NO2,1999,10213752,40.574000,0.00000000,45.85917630,42.51317953,184.11575099,33.84838204,0.91168972,35.90736288,17.45983216,0.77343235
BE,Belgium,NO2,2000,10239085,38.271818,0.00000000,52.89884604,45.49586115,181.87828624,29.83760027,0.93485433,37.44633320,15.76420129,0.53931329
BE,Belgium,NO2,2001,10263414,38.206000,0.00000000,47.35771519,44.14653765,183.23857478,31.04069431,0.92898166,34.22424153,14.89132690,0.48118601
BE,Belgium,NO2,2002,10309725,37.716154,0.00000000,42.47606112,42.37439336,182.06534388,29.90976102,0.79386919,32.15051618,14.88261754,0.49728741
BE,Belgium,NO2,2003,10355844,42.408000,0.00000000,45.71087613,41.53316090,180.95255635,30.08303529,0.80187725,29.62915095,14.02694830,0.35015517
BE,Belgium,NO2,2004,10396421,39.144000,0.00000000,47.39408190,41.52186220,184.92865714,29.26271433,0.85307300,35.38255815,13.86327554,0.57759270
BE,Belgium,NO2,2005,10445852,38.826250,0.00000000,46.48662743,36.19333600,177.46168115,28.28715344,0.81811915,35.44390604,13.31434047,0.38130340
BE,Belgium,NO2,2006,10511382,37.595625,0.00000000,38.19304931,37.06816133,171.04939118,27.17644641,0.83605443,31.62200883,13.35711659,0.24495001
BE,Belgium,NO2,2007,10584534,37.915625,0.00000000,33.79503696,36.65138157,166.79346424,25.86136041,0.72451997,31.64255026,13.29770600,0.30747280
BE,Belgium,NO2,2008,10666866,36.062941,0.00000000,23.96790270,33.76948390,168.61438540,26.53046050,0.41291270,26.76478396,12.64268612,0.63368870
BE,Belgium,NO2,2009,10753080,35.872353,0.00000000,22.93215449,22.15840330,156.75208523,25.47481895,0.28038450,22.06120007,13.09932118,0.77498566
BE,Belgium,NO2,2010,10839905,36.392500,0.00000000,21.12331958,23.90278555,160.07184345,26.48439937,0.39957700,26.80226718,13.21398336,0.83493070
BE,Belgium,NO2,2011,11000638,34.600625,0.00000000,17.00029247,22.14863210,151.65525794,22.20045824,0.37208900,28.03220958,12.81938275,0.78231343
BE,Belgium,NO2,2012,11094850,34.512778,0.00000000,16.31062523,20.87709078,135.43063131,22.64378514,0.31597400,25.51898633,12.44820306,0.75774508
