countryID,countryName,pollutantID,year,concentration,population,totStations,excStations,totStationsPop,excStationsPop
AT,Austria,BaP,2000,0.720000,8011566,1,0,9430,0
AT,Austria,BaP,2001,0.460000,8032875,1,0,9430,0
AT,Austria,BaP,2002,0.870000,8083797,1,0,9430,0
AT,Austria,BaP,2003,1.240000,8111871,1,1,9430,9430
AT,Austria,BaP,2005,0.880000,8201359,1,0,9430,0
AT,Austria,BaP,2006,1.877500,8254298,4,4,333076,333076
AT,Austria,BaP,2007,1.171250,8282984,8,4,677978,429920
AT,Austria,BaP,2008,1.012500,8318592,8,5,677978,560313
AT,Austria,BaP,2009,1.285714,8355260,7,5,540071,434293
AT,Austria,BaP,2010,1.290000,8389507,10,8,683945,536608
AT,Austria,BaP,2011,1.228000,8419045,10,6,683945,430830
AT,Austria,BaP,2012,0.952000,8440840,10,2,683945,238005
AT,Austria,BaP,2013,0.764444,8451860,9,1,NULL,0
AT,Austria,NO2,1985,0.060000,NULL,1,0,173852,0
AT,Austria,NO2,1988,46.350000,NULL,11,7,1659878,481989
AT,Austria,NO2,1989,49.779412,NULL,17,12,1659873,616780
AT,Austria,NO2,1990,42.458214,NULL,28,14,2087087,475962
AT,Austria,NO2,1991,40.443448,7795786,29,13,2093054,328610
AT,Austria,NO2,1992,38.399643,7867796,28,10,2093050,168164
AT,Austria,NO2,1993,38.482000,7962003,30,10,2093055,434155
AT,Austria,NO2,1994,34.341875,8015027,32,8,2093056,106393
AT,Austria,NO2,1995,34.105758,8039865,33,6,2093055,55270
AT,Austria,NO2,1996,34.463611,8054802,36,8,2196683,323155
AT,Austria,NO2,1997,34.413824,8067812,34,8,2196679,293195
AT,Austria,NO2,1998,34.253143,8075425,35,8,2196684,97905
AT,Austria,NO2,1999,32.592059,7992323,34,8,2093052,89136
AT,Austria,NO2,2000,32.691143,8011566,35,6,2108919,59802
AT,Austria,NO2,2001,32.692857,8032875,35,6,2108919,94457
AT,Austria,NO2,2002,33.483889,8083797,36,7,2246826,106210
AT,Austria,NO2,2003,36.992647,8111871,34,10,2246827,127882
AT,Austria,NO2,2004,34.041429,8140122,35,9,2246827,69872
AT,Austria,NO2,2005,36.315588,8201359,34,11,2246827,131844
AT,Austria,NO2,2006,37.868485,8254298,33,10,2246829,129864
AT,Austria,NO2,2007,34.845294,8282984,34,9,2246829,118388
AT,Austria,NO2,2008,34.172727,8318592,33,8,2246828,115404
