"popID";"countryID";"year";"population";"interpolation"
1;"AT";1991;7795786;0
2;"AT";1992;7867796;0
3;"AT";1993;7962003;0
4;"AT";1994;8015027;0
5;"AT";1995;8039865;0
6;"AT";1996;8054802;0
7;"AT";1997;8067812;0
8;"AT";1998;8075425;0
9;"AT";1999;7992323;0
10;"AT";2000;8011566;0
11;"AT";2001;8032875;0
12;"AT";2002;8083797;0
13;"AT";2004;8140122;0
14;"AT";2005;8201359;0
15;"AT";2006;8254298;0
16;"AT";2007;8282984;0
17;"AT";2008;8318592;0
18;"AT";2009;8355260;0
19;"AT";2013;8451860;0
20;"BE";1991;9986975;0
21;"BE";1992;10021997;0
22;"BE";1993;10068319;0
23;"BE";1994;10100631;0
24;"BE";1995;10130574;0
25;"BE";1996;10143047;0
26;"BE";1997;10170226;0
27;"BE";1998;10192264;0
28;"BE";1999;10213752;0
29;"BE";2000;10239085;0
30;"BE";2001;10263414;0
31;"BE";2002;10309725;0
32;"BE";2003;10355844;0
33;"BE";2004;10396421;0
34;"BE";2005;10445852;0
35;"BE";2006;10511382;0
36;"BE";2007;10584534;0
37;"BE";2008;10666866;0
38;"BE";2009;10753080;0
39;"BE";2010;10839905;0
40;"BE";2011;11000638;0
41;"BE";2012;11094850;0
42;"BE";2013;11161642;0
43;"BE";2014;11203992;0
44;"BG";1991;8669269;0
45;"BG";1992;8595465;0
46;"BG";1993;8484863;0
47;"BG";1994;8459763;0
48;"BG";1995;8427418;0
49;"BG";1996;8384715;0
50;"BG";1997;8340936;0
51;"BG";1998;8283200;0
52;"BG";1999;8230371;0
53;"BG";2000;8190876;0
54;"BG";2001;7928901;0
55;"BG";2002;7891095;0
56;"BG";2005;7718750;0
57;"BG";2006;7679290;0
58;"BG";2007;7640238;0
59;"BG";2008;7606551;0
60;"BG";2009;7563710;0
61;"BG";2010;7563710;0
62;"BG";2011;7504868;0
63;"BG";2012;7327224;0
64;"BG";2013;7284552;0
65;"BG";2014;7245677;0
66;"CH";1990;6873687;0
67;"CH";1996;7105446;0
68;"CH";2000;7288010;0
69;"CH";2004;7490098;0
70;"CH";2005;7527525;0
71;"CH";2006;7576924;0
72;"CH";2007;7638663;0
73;"CH";2008;7709274;0
74;"CH";2009;7801278;0
75;"CH";2010;7877571;0
76;"CH";2011;7870134;0
77;"CH";2012;7954662;0
78;"CH";2013;8039060;0
79;"CH";2014;8139631;0
80;"CY";1991;687100;0
81;"CY";1992;602025;0
82;"CY";1993;713700;0
83;"CY";1994;722800;0
84;"CY";1995;729800;0
85;"CY";1996;656300;0
86;"CY";1997;741000;0
87;"CY";1998;746100;0
88;"CY";1999;751500;0
89;"CY";2000;754800;0
90;"CY";2001;689565;0
91;"CY";2004;730400;0
92;"CY";2005;749200;0
93;"CY";2006;766400;0
94;"CY";2007;778700;0
95;"CY";2008;789300;0
96;"CY";2009;796900;0
97;"CY";2013;856900;0
98;"CZ";1991;10364124;0
99;"CZ";1992;10312548;0
100;"CZ";1993;10325697;0
101;"CZ";1994;10334013;0
102;"CZ";1995;10333161;0
103;"CZ";1996;10321344;0
104;"CZ";1997;10309137;0
105;"CZ";1998;10299125;0
106;"CZ";1999;10282784;0
107;"CZ";2001;10230060;0
108;"CZ";2002;10200774;0
109;"CZ";2004;10220577;0
110;"CZ";2007;10381130;0
111;"CZ";2008;10467542;0
112;"CZ";2009;10506813;0
113;"CZ";2010;10532770;0
114;"CZ";2011;10505445;0
115;"CZ";2012;10516125;0
116;"CZ";2013;10512419;0
117;"CZ";2014;10538275;0
118;"DE";1991;79753227;0
119;"DE";1992;80274564;0
120;"DE";1993;80974632;0
121;"DE";1994;81338093;0
122;"DE";1995;81538603;0
