"emissionID";"pollutantID";"countryID";"sectorID";"year";"emission"
1;"PM10";"AT";"1A1a";1990;0.0
2;"PM10";"AT";"1A1b";1990;0.0
3;"PM10";"AT";"1A1c";1990;0.0
4;"PM10";"AT";"1A2a";1990;0.0
5;"PM10";"AT";"1A2b";1990;0.0
6;"PM10";"AT";"1A2c";1990;0.0
7;"PM10";"AT";"1A2d";1990;0.0
8;"PM10";"AT";"1A2e";1990;0.0
9;"PM10";"AT";"1A2f";1990;0.0
10;"PM10";"AT";"1A2gvii";1990;0.0
11;"PM10";"AT";"1A2gviii";1990;0.0
13;"PM10";"AT";"1A3ai(i)";1990;0.0
14;"PM10";"AT";"1A3ai(ii)";1990;0.0
15;"PM10";"AT";"1A3aii(i)";1990;0.0
16;"PM10";"AT";"1A3aii(ii)";1990;0.0
17;"PM10";"AT";"1A3bi";1990;1.0
18;"PM10";"AT";"1A3bii";1990;0.0
19;"PM10";"AT";"1A3biii";1990;1.0
20;"PM10";"AT";"1A3bvii";1990;1.0
21;"PM10";"AT";"1A3c";1990;0.0
22;"PM10";"AT";"1A3di(ii)";1990;0.0
23;"PM10";"AT";"1A3dii";1990;0.0
24;"PM10";"AT";"1A3ei";1990;0.0
25;"PM10";"AT";"1A4ai";1990;0.0
26;"PM10";"AT";"1A4bi";1990;9.0
27;"PM10";"AT";"1A4bii";1990;0.0
28;"PM10";"AT";"1A4ci";1990;0.0
29;"PM10";"AT";"1A4cii";1990;2.0
30;"PM10";"AT";"1A5b";1990;0.0
31;"PM10";"AT";"1B1a";1990;0.0
32;"PM10";"AT";"2A1";1990;0.0
33;"PM10";"AT";"2A2";1990;0.0
34;"PM10";"AT";"2A5a";1990;3.0
35;"PM10";"AT";"2A5b";1990;0.0
36;"PM10";"AT";"2B10a";1990;0.0
37;"PM10";"AT";"2C1";1990;4.0
38;"PM10";"AT";"2C2";1990;0.0
39;"PM10";"AT";"2G";1990;0.0
40;"PM10";"AT";"2H2";1990;0.0
41;"PM10";"AT";"2I";1990;0.0
42;"PM10";"AT";"3Da1";1990;4.0
43;"PM10";"AT";"3Dd";1990;0.0
44;"PM10";"AT";"3F";1990;0.0
45;"PM10";"AT";"3I";1990;0.0
46;"PM10";"AT";"5A";1990;0.0
47;"PM10";"AT";"5C1bi";1990;0.0
48;"PM10";"AT";"5C1biii";1990;0.0
49;"PM10";"AT";"5C1bv";1990;0.0
50;"PM10";"AT";"1A1a";1991;0.0
51;"PM10";"AT";"1A1b";1991;0.0
52;"PM10";"AT";"1A1c";1991;0.0
53;"PM10";"AT";"1A2a";1991;0.0
54;"PM10";"AT";"1A2b";1991;0.0
55;"PM10";"AT";"1A2c";1991;0.0
56;"PM10";"AT";"1A2d";1991;0.0
57;"PM10";"AT";"1A2e";1991;0.0
58;"PM10";"AT";"1A2f";1991;0.0
59;"PM10";"AT";"1A2gvii";1991;0.0
60;"PM10";"AT";"1A2gviii";1991;0.0
62;"PM10";"AT";"1A3ai(i)";1991;0.0
63;"PM10";"AT";"1A3ai(ii)";1991;0.0
64;"PM10";"AT";"1A3aii(i)";1991;0.0
65;"PM10";"AT";"1A3aii(ii)";1991;0.0
66;"PM10";"AT";"1A3bi";1991;1.0
67;"PM10";"AT";"1A3bii";1991;0.0
68;"PM10";"AT";"1A3biii";1991;2.0
69;"PM10";"AT";"1A3bvii";1991;2.0
70;"PM10";"AT";"1A3c";1991;0.0
71;"PM10";"AT";"1A3di(ii)";1991;0.0
72;"PM10";"AT";"1A3dii";1991;0.0
73;"PM10";"AT";"1A3ei";1991;0.0
74;"PM10";"AT";"1A4ai";1991;0.0
75;"PM10";"AT";"1A4bi";1991;9.0
76;"PM10";"AT";"1A4bii";1991;0.0
77;"PM10";"AT";"1A4ci";1991;0.0
78;"PM10";"AT";"1A4cii";1991;2.0
79;"PM10";"AT";"1A5b";1991;0.0
80;"PM10";"AT";"1B1a";1991;0.0
81;"PM10";"AT";"2A1";1991;0.0
82;"PM10";"AT";"2A2";1991;0.0
83;"PM10";"AT";"2A5a";1991;4.0
84;"PM10";"AT";"2A5b";1991;0.0
85;"PM10";"AT";"2B10a";1991;0.0
